# Global Carbon Budget 2021 — Global_Carbon_Budget_2021v1.0.xlsx  — Global Carbon Budget
#
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr) , multiply the numbers below by 3.664.
# Note: 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# All uncertainties represent ± 1 sigma error (68 % chance of being in the range provided)
# Emissions from fossil fuel combustion and industrial processes (uncertainty of ±5% for a ± 1 sigma confidence level):
# Cite as: Friedlingstein et al. 2021 (see Summary tab).
# Emissions from land-use change (uncertainty of ±0.7 GtC/yr). Average of three bookkeeping models: H&N (Houghton &Nassikas, 2017), BLUE (Hansis, et al., 2015) and OSCAR (Gasser et al., 2020).
# Cite as: Friedlingstein et al. 2021  (see Summary tab).
# The atmospheric CO2 growth rate (variable uncertainty around 0.2 GtC/yr from 1980) is estimated directly from atmospheric CO2 concentration measurements, and provided by the US National Oceanic and Atmospheric Administration Earth System Research Laboratory (NOAA/ESRL).  http://www.esrl.noaa.gov/gmd/ccgg/trends/global.html
# Cite as: Dlugokencky, E. and Tans, P.: Trends in atmospheric carbon dioxide, National Oceanic & Atmospheric Administration, Earth System Research Laboratory (NOAA/ESRL), available at http://www.esrl.noaa.gov/gmd/ccgg/trends/global.html, 2020.
# 1959-1980 are based on Mauna Loa and South Pole stations as observed by the CO2 Program at Scripps Institution of Oceanography. http://scrippsco2.ucsd.edu/data/atmospheric_co2/
# 1980 onwards are global averages estimated from multiple stations run by NOAA/ESRL.
# The ocean sink (uncertainty of ±0.4 GtC/yr on average) is estimated from the average of 8 global ocean biogeochemistry models and the average of 7 ocean fCO2 data products.
# Cite as: Friedlingstein et al. 2021 (see Summary tab).
# The land sink (uncertainty of ±0.5 GtC/yr on average) was estimated from the average of 17 dynamic global vegetation models.
# Cite as: Friedlingstein et al. 2021 (see Summary tab).
# The cement carbonation sink  is the average of two estimates.
# Cite as: Friedlingstein et al. 2021 (see Summary tab).
# The budget imbalance is the sum of emissions (fossil fuel and industry + land-use change) minus (atmospheric growth + ocean sink + land sink + cement carbonation sink); it is a measure of our imperfect data and understanding of the contemporary carbon cycle.
# Cite as: Friedlingstein et al. 2021 (see Summary tab).
# GtC/yr
# Generated with openclimatedata 0.40.1 from the GCB Excel file 'Global_Carbon_Budget_2021v1.0.xlsx' from https://doi.org/10.18160/gcp-2021
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance
1981,5.19351315554345,1.17764639764236,2.46384,1.66685666890483,2.24117647058824,0.0447408261951896,-0.0454544126517394
1982,5.1522626077705,1.15548182084022,2.08152,1.81580800801741,1.54,0.0455861879670138,0.824830232803491
1983,5.18563927976013,1.27215874987299,3.9294,1.95488059713,0.291176470588235,0.0471071275776114,0.235233834582514
1984,5.3654555069036,1.4118114260781,2.61252,1.84039068624259,2.67,0.0485571168058633,-0.394200869902263
1985,5.54582696432764,1.33771324161347,3.48336,1.72341202535518,2.54764705882353,0.0499606388511533,-0.920839516523512
1986,5.62834390325099,1.31774665109921,2.124,1.75404961446777,2.16117647058824,0.0523364165130143,0.854528052737972
1987,5.80490354340745,1.26366566551294,5.64984,1.85004345358036,0.381176470588235,0.0547980239891535,-0.867288739181709
1988,6.0329836316422,1.22925724110767,4.63032,1.76801729269295,2.07176470588235,0.0580766256672561,-1.26593775202505
1989,6.11638451304683,1.18824099964344,3.14352,1.73823738180553,3.41235294117647,0.058036534021283,-1.04752134397445
1990,6.20696711067073,1.17335641256856,2.5488,1.91760695497571,2.22588235294118,0.057503869518047,0.630530346152684
1991,6.34028687877195,1.14958675520657,1.593,2.00381680093504,2.02352941176471,0.0610532172702873,1.80847420350166
1992,6.15762759204954,1.19857984873555,1.50804,2.16758613083247,2.12352941176471,0.0619162187354599,1.49513567931408
1993,6.22137946392934,1.17172268991389,2.63376,2.1183108052831,2.81647058823529,0.0661676053503425,-0.241606844421007
1994,6.26540619010604,1.3141153459946,3.52584,1.97648956197977,1.48470588235294,0.0698137094516146,0.522672382654429
1995,6.3989097255219,1.30082121460812,4.22676,1.95080234180965,1.59,0.0736642866869839,-0.141495688165083
1996,6.59007794545551,1.32123841059034,2.25144,1.95211299873096,3.06176470588235,0.0765779754230881,0.569420676032425
1997,6.63069886312397,1.82059021301644,4.20552,2.06894179294512,3.05823529411765,0.0794865619598565,-0.960894572835886
1998,6.60535866998798,1.40131494564395,6.03216,2.13553097600774,1.57,0.0804618685032916,-1.81147922851531
1999,6.69073763473793,1.38455844223987,2.84616,1.947954784743,3.38117647058824,0.0834296144298803,-0.183424793691948
2000,6.88596068149415,1.23834240280816,2.63376,1.87135287191846,3.51647058823529,0.0867727764415889,0.0159468480525657
2001,6.94518271965216,1.13671228370396,3.90816,1.79157201228728,2.40294117647059,0.0896170119789968,-0.110395196326842
2002,7.10585523388138,1.287697919452,5.05512,2.12974396124003,1.02058823529412,0.0943944314091902,0.0937065254721932
2003,7.46820556744195,1.39010841002953,4.86396,2.26583269229208,2.16411764705882,0.101384393124372,-0.536980754682424
2004,7.81229339496453,1.24898859149629,3.2922,2.21097463002915,3.25764705882353,0.108448523298262,0.19201177366627
2005,8.0783377088779,1.1189718644073,5.22504,2.24537540974972,1.87588235294118,0.116054763367503,-0.265042953489607
2006,8.34599644639191,1.26637114567502,3.78072,2.34609634258292,2.93941176470588,0.126380983764943,0.419758500626961
2007,8.59439010501234,1.10442030385473,4.50288,2.31720572035197,2.63,0.136211088072389,0.112513600939955
2008,8.75157598366536,1.12960455427765,3.75948,2.30711431741797,3.35823529411765,0.140967478224439,0.315383448440921
2009,8.62537996156615,1.23614657040923,3.35592,2.44843024614837,2.67176470588235,0.148333776024126,1.23707780354202
2010,9.09937607538723,1.16781151784345,5.11884,2.44060221824959,3.10705882352941,0.15759733268681,-0.556910781299579
2011,9.4064170703451,1.31854201345431,3.58956,2.49019030632401,3.94117647058823,0.170529020996376,0.533503285348723
2012,9.54438999526921,1.27632091081112,5.11884,2.55022674728146,2.39117647058824,0.177551054778079,0.582916633491131
2013,9.62874025421371,1.17816299027291,5.18256,2.60180019139055,3.25764705882353,0.18599576542334,-0.421099771209629
2014,9.69748695528872,1.24554989124692,4.3542,2.72097986232684,3.60411764705882,0.194189292805804,0.0695500444829198
2015,9.68713736354912,1.30101140685154,6.2658,2.78505357089279,2.14647058823529,0.196215146360142,-0.405390534811025
2016,9.67521246881669,1.01080090606935,6.01092,2.9341546904458,2.8,0.199106369274045,-1.25816768445736
2017,9.80433475202988,0.999694136552438,4.5666,2.83921986914142,3.52470588235294,0.203693613107036,-0.330190475477152
2018,10.0008134526483,1.0528216985603,5.11884,2.90769144579828,3.34647058823529,0.210855607159481,-0.530222489511171
2019,10.0161429679209,1.04405312953735,5.39496,2.97397467975046,2.69235294117647,0.215297541757623,-0.21638906483673
2020,9.49995777827836,0.876089781820727,5.01264,2.99493093066565,2.92470588235294,0.218796423611496,-0.775025676533141
