# Global Carbon Budget 2020 — Global_Carbon_Budget_2020v1.0.xlsx  — Ocean Sink
#
# Ocean CO2 sink (positive values represent a flux from the atmosphere to the ocean)
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr), multiply the numbers below by 3.664.
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Methods: The ocean sink (uncertainty of ±0.4 GtC/yr on average) is estimated from the average of several global ocean biogeochemistry models that reproduce the observed mean ocean sink of the 1990s.  Cite as: Friedlingstein et al (2020; see summary tab)
# Note: the data products include a pre-industrial steady state source of CO2 from rivers (of about 0.61 GtC/yr) and therefore are not directly comparable with the ocean model results
# Cite individual estimates as:
# Model results used to compute the annual values:
# CESM_ETH	Doney, S. C., Lima, I., Feely, R. A., Glover, D. M., Lindsay, K., Mahowald, N., Moore, J. K., and Wanninkhof, R.: Mech- anisms governing interannual variability in upper-ocean inor- ganic carbon system and air–sea CO2 fluxes: Physical cli- mate and atmospheric dust, Deep-Sea Res. Pt. II, 56, 640–655, https://doi.org/10.1016/j.dsr2.2008.12.006, 2009.
# CSIRO	Law, R. M., Ziehn, T., Matear, R. J., Lenton, A., Chamberlain, M. A., Stevens, L. E., Wang, Y.-P., Srbinovsky, J., Bi, D., Yan, H., and Vohralik, P. F.: The carbon cycle in the Australian Commu- nity Climate and Earth System Simulator (ACCESS-ESM1) – Part 1: Model description and pre-industrial simulation, Geosci. Model Dev., 10, 2567–2590, https://doi.org/10.5194/gmd-10- 2567-2017, 2017
# FESOM-1.4-REcoM2	Hauck, J., Zeising, M., Le Quéré, C., Gruber, N., Bakker, D. C. E., Bopp, L., et al. (2020). Consistency and Challenges in the Ocean Carbon Sink Estimate for the Global Carbon Budget. Frontiers in Marine Science, 7. https://doi.org/10.3389/fmars.2020.571720
# MPIOM-HAMOCC6	Paulsen, H., Ilyina, T., Six, K. D. and Stemmler, I.: Incorporating a prognostic representation of marine nitrogen fixers into the global ocean biogeochemical model HAMOCC, J. Adv. Model. Earth Syst., 9(1), 438–464, doi:10.1002/2016MS000737, 2017.
# NEMO3.6-PISCESv2-gas (CNRM)	Berthet, S., Séférian, R., Bricaud, C., Chevallier, M., Voldoire, A., & Ethé, C. ( 2019). Evaluation of an online grid‐coarsening algorithm in a global eddy‐admitting ocean biogeochemical model. Journal of Advances in Modeling Earth Systems, 11, 1759– 1783. https://doi.org/10.1029/2019MS001644
# NEMO-PlankTOM5	Buitenhuis, E. T., Hashioka, T., Le Quéré, C. (2013) Combined constraints on global ocean primary production using observations and models Global Biogeochemical Cycles 27. pp. 847-858 doi:10.1002/gbc.20074
# MICOM-HAMOCC (NorESM-OCv1.2)	Schwinger, J., Goris, N., Tjiputra, J. F., Kriest, I., Bentsen, M., Bethke, I., Ilicak, M., Assmann, K. M., and Heinze, C.: Evaluation of NorESM-OC (versions 1 and 1.2), the ocean carbon-cycle stand-alone configuration of the Norwegian Earth System Model (NorESM1), Geosci. Model Dev., 9, 2589-2622, 2016.
# MOM6-COBALT (Princeton)	Liao, E., Resplandy, L., Liu, J. and Bowman, K. W.: Amplification of the Ocean Carbon Sink During El Niños: Role of Poleward Ekman Transport and Influence on Atmospheric CO 2, Global Biogeochem. Cycles, 34(9), doi:10.1029/2020GB006574, 2020.
# NEMO-PISCES (IPSL)	Aumont, O., Ethé, Tagliabue, A., Bopp, L., & Gehlen, M. (2015). PISCES-v2: an ocean biogeochemical model for carbon and ecosystem studies.
# Data products used to evaluate the results:
# Landschützer	Landschützer, P., Gruber, N., and Bakker, D. C. E.: Decadal variations and trends of the global ocean carbon sink, Global Biogeochem. Cy., 30, 1396–1417, https://doi.org/10.1002/2015GB005359, 2016
# Rödenbeck	Rödenbeck, C., Bakker, D. C. E., Metzl, N., Olsen, A., Sabine, C., Cassar, N., Reum, F., Keeling, R. F., and Heimann, M.: Interannual sea–air CO2 flux variability from an observation-driven ocean mixed-layer scheme, Biogeosciences, 11, 4599-4613, 2014.
# CMEMS	Denvil-Sommer, A., Gehlen, M., Vrac, M., and Mejia, C.: LSCE-FFNN-v1: a two-step neural network model for the reconstruction of surface ocean pCO2 over the global ocean, Geosci. Model Dev., 12, 2091–2105, https://doi.org/10.5194/gmd-12-2091-2019, 2019.
# CSIR-ML6	Gregor, L., Lebehot, A. D., Kok, S. and Scheel Monteiro, P. M.: A comparative assessment of the uncertainties of global surface ocean CO2 estimates using a machine-learning ensemble (CSIR-ML6 version 2019a)-Have we hit the wall?, Geosci. Model Dev., 12(12), 5113–5136, doi:10.5194/gmd-12-5113-2019, 2019.
# Watson et al.	Watson, A. J., Schuster, U., Shutler, J. D., Holding, T., Ashton, I. G. C., Landschützer, P., Woolf, D. K. and Goddijn-Murphy, L.: Revised estimates of ocean-atmosphere CO2 flux are consistent with ocean carbon inventory, Nat. Commun., 11(1), 1–6, doi:10.1038/s41467-020-18203-3, 2020.
# Generated with openclimatedata 0.40.1 from the GCB Excel file 'Global_Carbon_Budget_2020v1.0.xlsx' from https://doi.org/10.18160/gcp-2020
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
#
# Individual models
Year,CESM-ETH,CSIRO,FESOM,MPI,CNRM,PlankTOM,NorESM,Princeton,IPSL,MMM (multi-model mean),Model Spread (sd)
1987,1.70854353949785,2.29354901201084,1.42038424591738,1.46350073774523,1.76609594706368,2.06628048780487,2.24250149975004,1.57848933813348,1.72559795029843,1.8072158620246443,0.30391723403289156
1988,1.62210296999387,2.0030995738086,1.65877041306436,1.59205147822285,1.29713261648745,1.84260060975609,2.11475198578014,1.64162891165882,1.59636590939013,1.70761160757359,0.23083715110948447
1989,1.47738729332516,2.18337853545137,1.41045148895292,1.40416962675556,1.4268458781362,2.01512499999999,2.25184902516247,1.3630130157851,1.4561581309577,1.6653753327251632,0.34884710731747604
1990,1.65865964482547,2.2835335141418,1.47998078770413,1.58216295972457,1.63638268541494,2.09837804878048,2.2764742265178,1.48528330102464,1.63324894640452,1.7926782349487058,0.31142055204308255
1991,1.81877767911818,2.44378148004649,1.59917387127761,1.63160555221596,1.79602977667493,2.15053658536585,2.3293430261623,1.66167322071448,1.70756694685271,1.90427645982539,0.30118408278808206
1992,2.03332274954072,2.59401394808213,1.81769452449567,1.85904147767637,2.15523573200992,2.32306097560975,2.60293403877131,1.88316283577956,1.91060041462927,2.1310074107327446,0.29178383988012185
1993,1.94571365584813,2.44378148004649,1.84749279538904,1.64149407071424,2.08539012958367,2.29698170731707,2.58695278564683,1.82804098587648,1.94800002522359,2.0693164039606153,0.2945256382855462
1994,1.68774179424372,2.25348702053467,1.72829971181556,1.7997103666867,1.93572098152743,2.09336280487804,2.43518113647725,1.63160675713098,1.80180548086892,1.9296573393514744,0.2599980143495148
1995,1.7086442743417,2.37367299496319,1.74816522574447,1.71071370020219,1.86587537910118,2.01111280487804,2.329845581292,1.70376626973137,1.86514774379299,1.9241048860052363,0.2477985153021463
1996,1.70123018983466,2.32359550561797,1.73823246878001,1.77004481119186,1.71620623104494,1.87269207317073,2.24260201077598,1.73483494876765,1.81174807123318,1.8790207011574422,0.22236316728635072
1997,1.99630269442743,2.71419992251065,1.58924111431316,1.53272036723318,1.89580920871243,2.02214634146341,2.3283379159029,1.75788590418166,2.03473742541725,1.98570898824023,0.3454961186733914
1998,1.95281546233925,2.69416892677256,1.90708933717579,1.50305481173834,2.03550041356492,2.34111585365853,2.36180808754096,1.9994198283024,2.10506424858394,2.1000041077418548,0.3178470329029178
1999,1.59870226576852,2.36365749709414,1.77796349663784,1.68104814470736,1.79602977667493,2.15254268292682,2.40583191690273,1.7438548878427,1.65554023083527,1.9083523221544785,0.2948745472930563
2000,1.59063340477648,2.32359550561797,1.58924111431316,1.7997103666867,1.77607389026743,2.08132621951219,2.40281658612453,1.53940293547493,1.69593322439072,1.866525916351568,0.30630779715981266
2001,1.55359320269442,2.29354901201084,1.34092219020172,1.64149407071424,1.67629445822994,1.9649725609756,2.32381491973559,1.45421462198836,1.69042767920891,1.7710314128621798,0.33016924766341416
2002,2.00384773423147,2.71419992251065,1.82762728146013,2.08647740313678,1.75611800385993,2.38023475609756,2.55760356607232,1.97236001107726,2.13392957819584,2.159155361849104,0.307858716235754
2003,2.12545483772198,2.81435490120108,1.86735830931796,1.92826110716432,2.12530190239867,2.32306097560975,2.68887096595011,2.15576543893658,2.08951005451941,2.235326499202207,0.3037054763879545
2004,2.0589899877526,2.82437039907012,1.7878962536023,1.85904147767637,1.85589743589743,2.24081097560975,2.60072279620063,1.96835114926613,2.03511258763924,2.136799229190508,0.33687375020576754
2005,2.12253352725045,2.85441689267725,1.9269548511047,1.9381496256626,1.87585332230493,2.29698170731707,2.63399194578681,2.08260371088341,2.13936441769868,2.2078722222984335,0.31571930932120373
2006,2.15018524188609,2.94455637349864,1.97661863592699,1.94803814416088,1.92574303832368,2.3270731707317,2.75370057768149,2.16478537801163,2.16878167373,2.262164692661233,0.33921692959305527
2007,2.05787183098591,2.85441689267725,2.07594620557156,2.14580851412645,2.02552247036117,2.47351829268292,2.66685905126923,2.17380531708667,2.22214599345032,2.2995438409123867,0.2792839665011428
2008,2.00478456827924,2.91450987989151,1.80776176753121,1.90848407016776,1.96565481113868,2.38625304878048,2.76455576848303,2.09863915812794,2.08692718661977,2.2152855843355135,0.36768850383096086
2009,2.15302596448254,2.9345408756296,1.74816522574447,2.14580851412645,2.18516956162117,2.44743902439024,2.65218444148197,2.08561035724176,2.19816357692183,2.2833452824044476,0.3275049546854548
2010,2.12722777097366,2.87444788841534,1.8574255523535,1.87881851467293,2.19514750482492,2.46549390243902,2.6289663944898,2.21890501246192,2.21460950678828,2.27344911637993,0.31397649587504306
2011,2.08240076546233,2.96458736923672,2.11567723342939,2.40290999508169,2.08539012958367,2.51464329268292,2.77782322390712,2.28505123234561,2.24502455713997,2.385945310985491,0.29642344282606314
2012,2.2511014084507,3.11481983727237,1.96668587896253,2.14580851412645,2.17519161841742,2.79449390243902,2.93522349052935,2.22892716698975,2.35226977016054,2.4405023985942367,0.37931534111079723
2013,2.27592247397428,3.09478884153428,2.10574447646493,2.16558555112301,2.30490488006617,2.72829268292682,2.92567494306504,2.3331575740792,2.36672011138623,2.4778657260688846,0.3306263998073911
2014,2.32960407225964,3.20495931809376,2.22493756003842,2.28424777310235,2.33483870967741,2.75336890243902,3.00286741098705,2.41233259484907,2.52884401202742,2.564000039274904,0.3273146588248533
2015,2.49000416411512,3.27506780317706,2.16534101825168,2.22491666211268,2.45457402812241,2.78145426829268,3.12056582236293,2.37725505400166,2.58121053742737,2.607821039762621,0.36084969796130756
2016,2.54519678505817,3.16489732661759,2.50305475504322,2.40290999508169,2.52441963054866,2.69017682926829,3.07774812531244,2.56667377457767,2.67648221860343,2.6835066044567957,0.248694982020858
2017,2.26915309246785,3.1448663308795,2.26466858789625,2.30402481009891,2.22508133443617,2.72327743902438,3.01241595845136,2.4935120465245,2.24292290998077,2.519991389973299,0.3355703358334604
2018,2.4554218922229,3.29509879891514,2.30439961575408,2.37324443958686,2.23505927763992,2.79850609756097,2.99191170915958,2.48148546109111,2.11468866339284,2.5610906617026004,0.36590699943804456
2019,2.60584923453766,3.26505230530802,2.27460134486071,2.35,2.53439757375241,2.80552743902439,3.05593723268344,2.53059401827748,2.21195593320966,2.6259905646281965,0.3357334982786881
