# Global Carbon Budget 2025 — Fossil Emissions by Category
#
# Fossil fuel and cement production emissions by fuel type
# All values in billion tonnes of carbon per year (GtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in billion tonnes of CO2 per year, multiply the values below by 3.664
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Methods: Full details of the method are described in Friedlingstein et al (2025) and Andrew and Peters (2025). Full country and fuel data can be found at https://zenodo.org/records/17417124
# The uncertainty for the global estimates is about ±5 % for a ± 1 sigma confidence level.
# Cite as: Friedlingstein et al (2025; see summary tab)
#
# GtC/yr
#
#
# Generated with openclimatedata 0.36 from the GCB Excel file from https://doi.org/10.18160/gcp-2025
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
1922,0.891025352492255,0.7569416407887,0.119625428445839,0.0109462403841504,0.00285141241505064,0.0,0.000660630458515284,0.45828295618786924
1923,1.01064293972479,0.859638295435677,0.132514843534708,0.0143357339983001,0.00341335987837819,0.0,0.000740706877729257,0.5153035393794857
1924,1.01423107852204,0.861340643974802,0.132146635811149,0.0162961425256459,0.00370694933271768,0.0,0.000740706877729257,0.5125544649134943
1925,1.02091509266291,0.860719761306664,0.137970412900652,0.0174461618835888,0.00393795417025628,0.0,0.000840802401746725,0.5112828462379998
1926,1.00365906560535,0.841715062867333,0.138228742679391,0.0188714515929793,0.00402302516870735,0.0,0.000820783296943231,0.4980482085174601
1927,1.09523655492197,0.918231227124958,0.151241267938334,0.020747134023479,0.00421616164306298,0.0,0.000800764192139738,0.5384750819850294
1928,1.09069610157751,0.902724106768229,0.154909644702805,0.0225500638780093,0.00971152203632683,0.0,0.000800764192139738,0.5312589730280952
1929,1.1703630195347,0.961758589275014,0.16967753526953,0.0280826283510168,0.0100635215518067,0.0,0.000780745087336244,0.5647460414558948
1930,1.08026595373732,0.877797700017305,0.163696514449992,0.0284456162117727,0.0097055308093393,0.0,0.000620592248908297,0.5164057771271929
1931,0.965971280916106,0.773252060445306,0.15843522616996,0.025351668135671,0.00843184854508145,0.0,0.000500477620087336,0.4573711262011407
1932,0.871340057595019,0.688419756850923,0.151742836217813,0.024077471561505,0.00673964907831528,0.0,0.000360343886462882,0.4085033249946876
1933,0.917762573708195,0.720198450864887,0.165823414940292,0.0248140192678524,0.00650628743429025,0.0,0.000420401200873362,0.42593982137257147
1934,0.997867254358125,0.786154507535243,0.175664757638807,0.0278252699725021,0.00778229890589621,0.0,0.000440420305676856,0.45840871213263146
1935,1.04687246669634,0.818332064032547,0.188853584724031,0.0303969414526913,0.00874936065737216,0.0,0.000540515829694323,0.4760275710993545
1936,1.1484521480851,0.897303654407276,0.205634856002326,0.0342608828856971,0.0105721052264802,0.0,0.000680649563318777,0.5169489013814951
1937,1.22726891465627,0.945958515331849,0.231065966384878,0.03836728791432,0.0111364381474939,0.0,0.000740706877729257,0.546952215338566
1938,1.15437143209624,0.881710087734908,0.224566861931122,0.0369805283723206,0.0105133809137817,0.0,0.000600573144104803,0.509503932643572
1939,1.22001430532451,0.937713187625382,0.233215029999223,0.0385729763202807,0.00973236629228354,0.0,0.000780745087336244,0.533474851729098
1940,1.33314996297418,1.03589061230681,0.245900791461383,0.0418994949318604,0.00857822366277621,0.0,0.000880840611353712,0.5777844960431576
1941,1.36438054624488,1.06057940093714,0.249000256189466,0.0418840664261964,0.0118157719278809,0.0,0.00110105076419214,0.5865607211974803
1942,1.35985895031962,1.06729153795136,0.235673438127021,0.0453190346070516,0.0104738888700021,0.0,0.00110105076419214,0.5804378211083808
1943,1.38517280967169,1.07169376925643,0.252890497034459,0.0499180935267717,0.00948932267062457,0.0,0.00118112718340611,0.5873563770200443
1944,1.40897537905024,1.05597904493089,0.291699275822888,0.0539303564584794,0.00618557465457798,0.0,0.00118112718340611,0.5936774022013686
1945,1.17066363051606,0.818743430087813,0.285422687474686,0.0591431037754746,0.00627337751869221,0.0,0.00108103165938865,0.4901259797557962
1946,1.25779081944206,0.883190662379991,0.302519258901415,0.0610909873216618,0.00990887917960125,0.0,0.00108103165938865,0.5230709860014499
1947,1.40971718382915,0.988851985838313,0.340193508984507,0.0676562711575444,0.0117742333509641,0.0,0.00124118449781659,0.5819445460594111
