Code,Year,Emissions-Transfers
KEN,1992,-0.659
KEN,1993,-0.659
KEN,1994,-0.784
KEN,1995,-0.813
KEN,1996,-0.072
KEN,1997,-0.389
KEN,1998,-0.963
KEN,1999,-0.488
KEN,2000,0.023
KEN,2001,-0.370
KEN,2002,0.112
KEN,2003,-0.790
KEN,2004,-0.890
KEN,2005,-1.039
KEN,2006,-1.213
KEN,2007,-1.261
KEN,2008,-1.339
KEN,2009,-1.768
KEN,2010,-1.595
KEN,2011,-1.752
KEN,2012,-1.967
KEN,2013,-2.650
KEN,2014,-2.657
KEN,2015,-2.360
KEN,2016,-2.342
KEN,2017,-2.511
KGZ,1990,0.872
KGZ,1991,0.247
KGZ,1992,-0.953
KGZ,1993,-0.793
KGZ,1994,-0.904
KGZ,1995,-1.468
KGZ,1996,-0.730
KGZ,1997,0.125
KGZ,1998,-1.184
KGZ,1999,-0.229
KGZ,2000,-0.020
KGZ,2001,-0.016
KGZ,2002,0.090
KGZ,2003,-0.098
KGZ,2004,-0.151
KGZ,2005,-0.531
KGZ,2006,-1.168
KGZ,2007,-0.185
KGZ,2008,-0.051
KGZ,2009,-1.649
KGZ,2010,-1.482
KGZ,2011,-1.427
KGZ,2012,-1.586
KGZ,2013,-1.721
KGZ,2014,-1.776
KGZ,2015,-1.749
KGZ,2016,-1.752
KGZ,2017,-1.880
KHM,1990,-0.145
KHM,1991,-0.150
KHM,1992,-0.165
KHM,1993,-0.179
KHM,1994,-0.193
KHM,1995,-0.173
KHM,1996,-0.208
KHM,1997,-0.218
KHM,1998,-0.243
KHM,1999,-0.204
KHM,2000,-0.206
KHM,2001,-0.292
KHM,2002,-0.126
KHM,2003,-0.593
KHM,2004,-0.620
KHM,2005,-0.827
KHM,2006,-0.946
KHM,2007,-0.998
KHM,2008,-1.085
KHM,2009,-0.949
KHM,2010,-1.320
KHM,2011,-1.486
KHM,2012,-1.429
KHM,2013,-1.996
KHM,2014,-1.954
KHM,2015,-1.774
KHM,2016,-1.624
KHM,2017,-1.686
KOR,1990,-19.322
KOR,1991,-22.615
KOR,1992,-20.640
KOR,1993,-21.036
KOR,1994,-22.009
KOR,1995,-22.251
KOR,1996,-24.627
KOR,1997,-22.241
KOR,1998,-5.134
KOR,1999,-13.440
KOR,2000,-15.151
