Year,Fossil-Fuel-Industry,Land-Use-Change,Atmospheric-Growth,Ocean-Sink
1960,2.569,1.644,1.310,0.885
1961,2.580,1.574,1.434,0.916
1962,2.686,1.529,1.550,0.943
1963,2.833,1.473,1.658,0.960
1964,2.995,1.420,1.762,0.957
1965,3.130,1.373,1.861,0.977
1966,3.288,1.329,1.956,1.043
1967,3.393,1.306,2.049,1.090
1968,3.566,1.303,2.138,1.115
1969,3.780,1.310,2.225,1.179
1970,4.053,1.276,2.310,1.239
1971,4.208,1.240,2.392,1.249
1972,4.376,1.204,2.473,1.274
1973,4.614,1.177,2.551,1.369
1974,4.623,1.137,2.627,1.407
1975,4.596,1.106,2.700,1.396
1976,4.864,1.088,2.770,1.426
1977,5.016,1.064,2.837,1.488
1978,5.074,1.028,2.899,1.565
1979,5.357,1.001,2.955,1.607
1980,5.301,1.040,3.004,1.658
1981,5.138,1.050,3.046,1.697
1982,5.094,1.062,3.084,1.712
1983,5.075,1.104,3.118,1.756
1984,5.258,1.140,3.148,1.810
1985,5.417,1.158,3.174,1.844
1986,5.583,1.195,3.197,1.868
1987,5.725,1.232,3.216,1.905
1988,5.936,1.249,3.231,1.990
1989,6.066,1.276,3.243,2.030
1990,6.065,1.278,3.252,2.011
1991,6.133,1.292,3.261,2.010
1992,6.072,1.309,3.273,1.994
1993,6.063,1.311,3.290,1.967
1994,6.168,1.308,3.311,1.998
1995,6.300,1.294,3.335,2.079
1996,6.442,1.269,3.361,2.127
1997,6.549,1.744,3.388,2.142
1998,6.568,1.192,3.412,2.207
1999,6.554,1.166,3.433,2.281
2000,6.725,1.280,3.449,2.270
2001,6.886,1.147,3.461,2.274
2002,6.986,1.307,3.469,2.330
2003,7.368,1.357,3.474,2.411
2004,7.734,1.297,3.476,2.457
2005,8.033,1.181,,2.486
2006,8.324,1.225,,2.539
2007,8.491,1.049,,2.555
2008,8.766,1.102,,2.564
2009,8.689,1.519,,2.594
2010,9.121,1.373,,2.648
2011,9.495,1.320,,
2012,9.667,1.379,,
2013,9.765,1.409,,
2014,9.848,1.379,,
2015,9.831,1.519,,
2016,9.875,1.270,,
