# Global Carbon Budget 2022 — Global_Carbon_Budget_2022v1.0.xlsx  — Fossil Emissions by Category
#
# Fossil fuel and cement production emissions by fuel type
# All values in million tonnes of carbon per year (MtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# Methods: Full details of the method are described in Friedlingstein et al (2022b) and Andrew and Peters (2021). Full country and fuel data can be found at https://zenodo.org/record/7215364#.Y1JIIHbRZmM
# The uncertainty for the global estimates is about ±5 % for a ± 1 sigma confidence level.
# Cite as: Friedlingstein et al (2022b; see summary tab)
#
# MtC/yr
# Generated with openclimatedata 0.38.1 from the GCB Excel file 'Global_Carbon_Budget_2022v1.0.xlsx' from https://doi.org/10.18160/gcp-2022
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
1875,184.443,182.850355103233,1.59264489676664,0.0,0.0,0.0,0.0,0.128450921575716
1876,187.105,185.321104587481,1.78389541251908,0.0,0.0,0.0,0.0,0.129612817270822
1877,190.802,188.393682639928,2.40831736007245,0.0,0.0,0.0,0.0,0.131468877460928
1878,192.243235402094,189.502879976305,2.7403554257895,0.0,0.0,0.0,0.0,0.131752291354287
1879,206.022711830052,202.567570837596,3.45514099245643,0.0,0.0,0.0,0.0,0.140436028680476
1880,232.997996704277,228.804695671381,4.19325400126908,0.0,4.70316271300428e-05,0.0,0.0,0.157964999289195
1881,240.831058735205,236.12510125805,4.70590075631538,0.0,5.67208398036545e-05,0.0,0.0,0.162388399884487
1882,254.345499307155,249.131355799611,5.1690697704523,0.045,7.37370917447508e-05,0.0,0.0,0.170564502578904
1883,270.478282048831,265.870378410439,4.50381007515907,0.103998499105236,9.50641275109249e-05,0.0,0.0,0.180387747324351
1884,273.519182282681,268.198388030395,5.00070349894263,0.32,9.07533436858472e-05,0.0,0.0,0.181409539390626
1885,275.565328815926,269.3767557552,5.17447890413235,1.014,9.41565940740665e-05,0.0,0.0,0.181753158522412
1886,279.87866984259,271.827217345973,5.95635039910506,2.095,0.000102097511646578,0.0,0.0,0.183568999896677
1887,293.874947448822,284.248971091273,6.40882451032559,3.217,0.000151847224108348,0.0,0.0,0.191668644703399
1888,325.40170330067,314.114788934822,6.70876681690699,4.578,0.000147548941556363,0.0,0.0,0.211034692689679
1889,325.272820321054,314.182562528352,7.75309897435007,3.337,0.000158818351450233,0.0,0.0,0.209755640432781
1890,354.382699561069,341.735376211189,9.45717093629045,3.18997090690209,0.000181506687371694,0.0,0.0,0.227225096250223
1891,370.871704191413,357.285529150326,11.1439884796193,2.442,0.000186561467108309,0.0,0.0,0.236434712826831
1892,373.932383486246,360.83676126124,10.9734235064699,2.122,0.00019871853545677,0.0,0.0,0.237011815554442
1893,369.451062359256,355.84972710728,11.6121536893162,1.989,0.000181562659496413,0.0,0.0,0.23281375460306
1894,382.330134623175,369.120487349851,11.3814417900942,1.82801575780563,0.000189725423617564,0.0,0.0,0.239524673326716
1895,405.369151903574,390.199404202515,13.2475642728633,1.92198532723622,0.000198100958952987,0.0,0.0,0.252468651673307
1896,418.586644572133,402.369381707271,14.3480612604244,1.86898575956601,0.000215844871203757,0.0,0.0,0.259162412879672
1897,438.400809968413,421.255774118253,15.1558010844774,1.98898543305357,0.000249332628140475,0.0,0.0,0.269819014498952
1898,462.408775832866,444.495623083913,15.6038779657975,2.309,0.000274783155518695,0.0,0.0,0.282895696306022
1899,505.130481468912,485.769769603789,16.3843597320537,2.976,0.000352133069810572,0.0,0.0,0.307175997825891
1900,532.808269150462,511.287354426114,18.3705340960817,3.15,0.000380628265823465,0.0,0.0,0.322049257926482
1901,550.421532383576,526.509803909656,20.401273719421,3.51,0.000454754498758791,0.0,0.0,0.330611713701504
1902,564.32422640523,538.531011602591,22.0546258256968,3.738,0.00058897694199724,0.0,0.0,0.336717579085721
1903,615.200580557556,587.882859663919,23.3520253566843,3.965,0.000695536951948713,0.0,0.0,0.364535128924185
1904,622.20215835914,591.338321291049,26.2236262803372,4.13898300166899,0.000750165997562162,0.0,0.500477620087336,0.366048697827747
1905,662.476309200532,630.770447935687,26.4783868636755,4.686,0.000958571475446999,0.0,0.540515829694323,0.386891112364825
1906,691.794326929693,659.302127000513,26.7174184617042,5.193,0.00122742817432909,0.0,0.58055403930131,0.401013755572842
1907,788.293604585231,749.715107339007,32.5917153163505,5.42498346971378,0.00126352566170871,0.0,0.560534934497816,0.45353699153189
1908,757.752283579886,716.708571229331,35.1417377336098,5.37,0.0314969968574603,0.0,0.500477620087336,0.432711028764596
1909,788.883211634407,745.123811468213,36.6672280738765,6.41999942987457,0.0315613087314052,0.0,0.64061135371179,0.447154126590301
1910,828.007587391654,781.272544860479,39.2574764987174,6.8,0.0369546787456433,0.0,0.64061135371179,0.46591214142122
1911,840.397081598669,791.083308244565,41.6337573125131,7.01901021400778,0.0404135786740636,0.0,0.620592248908297,0.469501141844195
1912,883.061778942313,831.861298703905,42.7836427774784,7.728,0.0482261072177282,0.0,0.64061135371179,0.489846931529702
1913,956.840939247594,898.490603325192,49.5563765123864,8.078,0.0553289514994176,0.0,0.660630458515284,0.527038093017093
1914,867.880006670275,808.344100212067,50.6502771096892,8.22501719470442,0.0400199049057627,0.0,0.620592248908297,0.474670428023132
1915,855.452552084669,792.256448591174,53.7947382838889,8.69698413978875,0.0437506113024652,0.0,0.660630458515284,0.464555887189142
1916,923.929436243014,854.086597608611,58.5786259123769,10.4740201100873,0.0494857342087528,0.0,0.740706877729257,0.49814096311684
1917,966.116944989658,889.162982108926,65.1768672627393,11.0559836310269,0.0404624236477035,0.0,0.680649563318777,0.517082077646028
1918,953.285989280028,875.946867607139,66.7589289040244,9.96700057926241,0.0326381503007731,0.0,0.58055403930131,0.506404830760699
1919,826.57199249725,741.080976285165,74.4994006171939,10.3569963201472,0.0340461306385353,0.0,0.600573144104803,0.435725319074174
1920,960.988659505399,853.145919148264,95.7844727577083,11.3770178922607,0.0406383534540975,0.0,0.64061135371179,0.502579971610167
1921,843.194388501694,728.274286776636,104.873993791279,9.55030281094977,0.035365712349628,0.0,0.460439410480349,0.437371423882449
1922,884.207393746505,756.187336863064,116.360587590871,10.946227210444,0.0526116236110376,0.0,0.660630458515284,0.454776261029948
1923,1003.11082195908,858.739960616808,129.237673085772,14.3357247507493,0.0567566280232563,0.0,0.740706877729257,0.511463086148049
1924,1006.03145094984,860.439029149668,128.496684652928,16.2960692966657,0.0589609728479745,0.0,0.740706877729257,0.508410679723155
1925,1016.8222393133,860.103263203823,134.494178758173,17.4460407793035,3.93795417025628,0.0,0.840802401746725,0.509233110932037
1926,998.71647417861,841.090848756377,133.91050427619,18.8713126803918,4.02302516870735,0.0,0.820783296943231,0.495595534208143
1927,1089.99832009195,917.450622828745,146.783781990187,20.7469894378164,4.21616164306298,0.0,0.800764192139738,0.53589969412304
1928,1085.17220195448,902.117669688032,149.983216921133,22.5499291864386,9.72062196673661,0.0,0.800764192139738,0.528568378245005
1929,1164.7535624497,961.313126675407,164.513714253854,28.0824548812975,10.0635215518067,0.0,0.780745087336244,0.562039258491468
1930,1073.88921281862,877.203376565509,157.914338868309,28.4453743265535,9.7055308093393,0.0,0.620592248908297,0.51335746681225
1931,959.863672317587,772.527210053705,153.042826506856,25.3512617709124,8.44189636602582,0.0,0.500477620087336,0.454486128745949
1932,865.393162668347,687.758919638574,146.449807127236,24.0770014640057,6.74709055206932,0.0,0.360343886462882,0.40573682658638
1933,911.121552182655,719.333394186716,160.040711463922,24.8134801314134,6.5135651997311,0.0,0.420401200873362,0.422901427226991
1934,990.929438636331,785.547881493136,169.326709325773,27.8246033305126,7.78982418123208,0.0,0.440420305676856,0.455292600946655
1935,1040.15058196169,817.927086184663,182.528553845172,30.396201035816,8.75822506634997,0.0,0.540515829694323,0.473066170828172
1936,1141.1267809937,896.608180307,198.998644068352,34.2600119263384,10.5792951286874,0.0,0.680649563318777,0.51376938282986
1937,1219.8060227327,945.342726043893,224.212874875235,38.3663444579547,11.143370477889,0.0,0.740706877729257,0.543752293845723
1938,1146.63749901277,881.016967133991,217.518953416222,36.9795722254327,10.5214330930151,0.0,0.600573144104803,0.506191593580048
1939,1213.27584182577,937.588958596736,226.594279828457,38.5720239355499,9.73983437768689,0.0,0.780745087336244,0.530594819784094
